date,username,hashtags,tweet
2022-08-06,suutanvideo,[],"Monkeypox vaccines: A virologist answers 6 questions about how they work, who can get them and how well they prevent infection  https://t.co/o0wVZT4pf0"
2022-08-06,jone46404721,[],"8/5/2022 Miles Guo: The CCP will most likely unleash another new virus! This time the virus probably will originate from the Middle East, and will be called a variant of the virus causing an  infectious disease such as MERS, smallpox or monkeypox; it …  https://t.co/LJirfGlval"
2022-08-06,who69133935,[],"These mfs scientist need to hurry up and make a ointment to make monkeypox go away, I ain't tryna go into another pandemic from this shit"
2022-08-06,cowpolitics,[],"Biden administration declares monkeypox a public health emergency, California cases surge:  https://t.co/9k5h2I83FR"
2022-08-06,cowpolitics,[],Biden administration declares monkeypox a public health emergency:  https://t.co/KhmIhohWM0
2022-08-06,tomglizzy,[],bro monkey pox in the city wtf u clubbin for???🤦🏾‍♂️
2022-08-06,thejournal_ie,[],"Number of monkeypox cases in UK beginning to plateau, figures suggest  https://t.co/RgUwXpNQtJ"
2022-08-06,yugan___,['monkeypox'],"‼#Monkeypox around the world reaches a new daily record of 1,622 new confirmed cases."
2022-08-06,fakeleftsucks,[],@billmaher He said monkeypox outbreak is due to mRNA vaccines. Perhaps you should mention this on your show or bring him on as a guest to discuss in more detail.  https://t.co/eIuyT4DPkW
2022-08-06,j_ppoh,[],"The patient, a 54-year-old male, is linked to a 33-year-old male who was confirmed with monkeypox three days earlier.  All monkeypox cases so far are male."
2022-08-06,gee_oni,[],"Precautions to take against COVID-19 and monkeypox, and the possible spread of polio  https://t.co/mEtNQFlDzO"
2022-08-06,leila38_,[],"JYNNEOS  and ACAM2000 are both good if u really want one they protect against pox and also against monkeypox  tho its true, no specific monkeypox cure exists at this time there r preventive measures u can take if u really want to"
2022-08-06,vaporpunk24,[],"@kaelas06 @azanino15 @happydays3653 @CSW_Hoosier @astronglady @alex_abads I’m disappointed I really wanted to see their eventual, “hey guys, I got monkeypox and trust me you guys don’t want to catch this…” tweets.  https://t.co/S2DDOZ841d"
2022-08-06,nukyangi,[],"@GISEOK4EVA does monkeypox also spread through bodily fluids, like covid?"
2022-08-06,dtsfa,[],"New post: ""Dorset has recorded a 'handful' of monkeypox cases""  https://t.co/o0cUrfijLR"
2022-08-06,ultimapaul,"['aids', 'monkeypox']",Monkeypox: Can we still stop the outbreak?  Could it be that nature is looking to restore the natural order of life? #aids #monkeypox  https://t.co/KA6oag7Rd0
2022-08-06,newsme_24,[],"Illinois daycare worker tests positive for monkeypox, children and other staff potentially exposed  https://t.co/2VCNYepDh5"
2022-08-06,misfitmarkk,[],i’ve been so so scared and anxious of this whole monkey pox thing that today i went to a concert in full long sleeve in 100 degree heat just to avoid contact w people. 😐😐😐😐 i can successfully say however that i did not touch a single person today 😋
2022-08-06,lgbtpr0,[],Number of Monkeypox Cases in the Military Climbs Tenfold in Less than 4 Weeks -  https://t.co/qI8bmYm2kX  https://t.co/4e7IsSGHUg
2022-08-06,lgbtpr0,[],"Air, Space Force members at high risk for monkeypox - Eglin Air Force Base  https://t.co/eM8I1cTgiM"
2022-08-06,phillyprnc,[],"@linda_lirogers @TheHourMan_ @KonstantinKisin @estherk_k “A study published in the New England Journal of Medicine showed that 95% of monkeypox cases have been transmitted through sexual activity. …the largest study to date, scientists at Queen Mary University of London, looked at 528 confirmed infections in 16 countries.”"
2022-08-06,elijahthewizah,[],Monkey pox ain’t no joke bro I’m gonna be a recluse wtf
2022-08-06,monkeypoxbot,[],@tinndrawers We really hope that this is kind of a joke. Not from a political position but from an informative. Anal sex has nothing to do with transmitting the pox. It‘s more about very close SKIN contact. Please dont shoot against (gay) people and inform yourself again. Thanks!
2022-08-06,grimdawn4,[],@DoctorJanette @TheLeoTerrell Democrats will have monkeypox lockdowns for the midterms
2022-08-06,nyznews,[],"Illinois daycare worker tests positive for monkeypox, children and other staff potentially exposed  https://t.co/OwxsD8i5FG"
2022-08-06,crwequine,[],How can anyone say monkeypox is not airborne?
2022-08-06,clappedry,[],Who up playing with their tight lil monkeypox
2022-08-06,toya65188217,[],CDC issues monkeypox ‘safe sex’ guide — RT World News  https://t.co/nYSfHIdPqZ
2022-08-06,psouverein,[],Monkeypox Can Easily Spread Outside Gay Community Says WHO Expert  https://t.co/uWb1uZQJxK via @TMZ
2022-08-06,leila38_,[], https://t.co/tYtJJRoLWQ Monkeypox: Can we still stop the outbreak?  it doesnt spread so good not so good like corona u can get a vaccination against pox it should help protect u if u really want one
2022-08-06,cflmichael,[],"I’d like to opt-out of the polio and stick with the gay monkeypox, please. Thank you. 😒"
2022-08-06,hr_trash,['hr'],@hrconfes Monkeypox: US government declares virus outbreak a public health emergency  https://t.co/AplqSlDskY #HR
2022-08-06,minorites,[],"Few doses and ‘uncoordinated’: Is Europe struggling to rollout the monkeypox vaccine?  https://t.co/cn2bKpg2cg  Réponse : ""A lack of central organisation is a common theme across Europe""."
2022-08-06,afr0rican,[],"Black, Latino Men Hit Hardest by Monkeypox Outbreak: CDC - The Washington Informer  https://t.co/uTmIwkHFyp"
2022-08-06,fjfruit,[],@OmxgaTV I’m literally in Dubai right now hope u feel better tho Covid and monkey pox is spreading in Dubai
2022-08-06,amyday25286027,[],@Ozzers101 @blackintheempir Monkey pox?
2022-08-06,mundonewspt,[],Here’s What To Know About Monkeypox Risk For Dogs (Or Cats)  https://t.co/4tR1SQ3RxF
2022-08-06,walkew03,[],"Just a few months ago we had two cases of MonkeyPox in NYC We now have 6,600 cases ?? Gay men who have had their group orgies, multiple partners have spread this virus like wild fire ! What were they thinking ?"
2022-08-06,canberran10,[],@VicAusMidwife @AlboMP @Mark_Butler_MP I'd prefer a polio vaccination to accompany my monkeypox vaccination to accompany my COVID vaccination....
2022-08-06,xannmeowri,[],@ifeelikebibi please i almost have a mental breakdown when i got a pimple bcs im so paranoid that its a freaking monkeypox 😭😭😭
2022-08-06,rohit_ideas,[],Are my kids at risk for monkeypox? What parents need to know  https://t.co/a7yEkeJ57I  https://t.co/LPUSYwYVMl
2022-08-06,callmekeis_,['monkeypox'],How many believers do I have ? #monkeypox is leprosy and it’s in the bible… Everything that’s going on now is today’s world is a sign that the lord is coming and those who are not living right should live right because time is limited.
2022-08-06,rohit_ideas,[],"A daycare worker in Illinois has tested positive for monkeypox, as the FDA approves use of vaccine for children: ‘It’s a transmissible infectious disease’  https://t.co/sZmu9hPE9h  https://t.co/Zm9dCKL3bg"
2022-08-06,metroresponse,[],RT @euronewsnext: The fightback against monkeypox has begun with European nations finally taking action to vaccinate at-risk groups against the disease.  In full 👇  https://t.co/AyKXnwMTHi
2022-08-06,exposervaantifa,[],"What about the daycare worker?  ""Monkeypox is not airborne, it is primarily spread through skin-to-skin contact."" - The Champaign-Urbana Public Health District  Is Child Protective Services involved to find out how kids caught it from the daycare worker?"
2022-08-06,foxwallstreetus,[],"CNBC: Monkeypox: What to know about the new public health emergency, from symptoms to risk. (via @CNBCMakeIt)  https://t.co/DgIvZFN2Qb"
2022-08-06,tommycollinsoh,[],"Illinois daycare worker tests positive for monkeypox, children and other staff potentially exposed  https://t.co/L8Lq6uZJep"
2022-08-06,carpediemxrp,[],@charliekirk11 @wvbcaa There rules their game.  Game over we take it back speak your truth Gay-Orgy's cause Monkeypox!
2022-08-06,busapar3,[],@r0bertg0nzalez @JAHSHHGREEN @xtina @XtinaNews @XtinaWeb @xtinachile @xtina_ON @ChristinaAguina @MandSBankArena No monkey pox …. Well I hope not 🤞
2022-08-06,issazen_,[],@RoseParamore7 @ArwiSK Taylor Hickson?? Who tf is that?  Her full name sounds like it could give someone monkeypox anyways. SHE should stay away from Eliza 🤗
2022-08-06,mitesh7,[],@VtvGujarati @Bhupendrapbjp One CM is busy to curtain Lampi outbreak in cow while other CM having naxal ideology busy in election rally that too when the date of election not public and even election is due in Dec 2022. Delhi reported 4 cases of monkey pox and 1500 of covid daily but no accountability
2022-08-06,pipehugger,[],How long did it take to develop the Monkey pox vaccine? Just wondering who has the time machine™.
2022-08-06,wthornton3000,[],@RobertKennedyJr The cure to monkeypox is to turn off the news.
