,user_created_at,user_screen_name,text,tweet_url,user_location,hashtags
12436,Wed Oct 13 08:27:12 +0000 2021,DnaHindi,"होमोसेक्सुअल और बाईसेक्सुअल लोगों को क्यों है मंकीपॉक्स का ज्यादा खतरा? यूके में जारी की गई एडवाइजरी

#Moneypox #Health #UK 

https://t.co/SZSyIkZMvx",https://twitter.com/DnaHindi/status/1527038821879189506,India,Moneypox Health UK
12437,Wed Oct 13 09:47:51 +0000 2021,Ironsky51307716,@1xseventeen https://t.co/h58N9J9Wd4,https://twitter.com/Ironsky51307716/status/1527615644031717376,"Melbourne, Victoria",
12438,Wed Oct 13 10:08:16 +0000 2021,PStewed,"Herpes Zoster
Herpes Pox
Monkey Zoster
Monkey Pox https://t.co/AZF2Ra3zDk",https://twitter.com/PStewed/status/1527769320759209984,Italy/Leicester,
12439,Wed Oct 13 10:44:55 +0000 2021,ClaireK14001817,"@Anastas25000045 I dont think its real as in monkey pox i think if it does exist its related to the vax funny how the bringing up gay men not long back it was super strain of hiv apparently this is more likely to off you with bad immune system,,,sounds like aids which full blown u have lesion",https://twitter.com/ClaireK14001817/status/1527761275178164224,Mae hen wlad fy nhadau,
12440,Wed Oct 13 11:42:55 +0000 2021,AgbonlahorGobby,"Holy shit monkey pox #monkeypox #virus #wtf
https://t.co/KXFIt5Bv08",https://twitter.com/AgbonlahorGobby/status/1523906368146657281,leeds,monkeypox virus wtf
12441,Wed Oct 13 14:20:23 +0000 2010,rogcastbaseball,"Tonight, we are back in our home studios as @ChrisBrown0914, @Yooper_IA and I will be live for @WoodwardTigers starting at 9:30 this evening. Subscribe to our YouTube channel below:  
https://t.co/kCEnEcOibd",https://twitter.com/rogcastbaseball/status/1527388253908652032,"Michigan, USA",
12442,Wed Oct 13 23:29:38 +0000 2010,PatriciaHeaton,Never thought I’d have to look up “how is monkey pox transmitte?” But here we are.,https://twitter.com/PatriciaHeaton/status/1527080946247385089,Instagram: @PatriciaHeaton,
12443,Wed Oct 14 03:39:26 +0000 2009,__psn,@luisbruno I am looking forward to someone explaining how the lockdown reduced our herd immunity to monkey pox,https://twitter.com/__psn/status/1527033919325065216,,
12444,Wed Oct 14 23:33:31 +0000 2020,gina80957107,Monkey pox now? Is this the cause? How the hell would we know? https://t.co/37dfeRkhn6,https://twitter.com/gina80957107/status/1527422902642958336,Whitsundays QLD Australia🇦🇺,
12445,Wed Oct 14 23:39:37 +0000 2020,ElAmerican_,"#BREAKING | Federal judge blocks Biden administration’s effort to end Title 42 on Monday.

Follow @elamerican_ for more breaking news",https://twitter.com/ElAmerican_/status/1527761506426933248,USA,BREAKING
